zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
30815,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30813,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31006,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30285,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30187,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30426,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31033,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31012,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30185,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30535,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30260,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30092,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30542,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31052,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30182,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30250,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30733,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
39826,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30080,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30256,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
39886,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30518,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30536,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30809,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30054,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31077,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30344,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31411,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31067,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31543,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30137,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31326,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31801,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30078,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31094,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30064,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30677,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31554,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30828,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30538,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30322,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30025,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30669,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30641,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30337,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
31639,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30035,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30147,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30028,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30566,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30823,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
30453,7140,Georgia Power Co,GA,Bundled,Investor Owned,0.104211956,0.06393318,0.132229844
